
Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
"Idarubicin Hydrochloride Injection","Pfizer Inc.","844-646-4398","Idamycin, Injection, 1 mg/1 mL (NDC 0013-2576-91)","New","02/06/2025","","Replaced with NDC 0013-2576-05","","","Oncology","To Be Discontinued","","02/06/2025","02/06/2025","","","","","","",""
"Imatinib Mesylate Tablet","Sun Pharmaceutical Industries Limited","800-818-4555","Imatinib Mesylate, Tablet, 100 mg (NDC 47335-472-13)","New","12/05/2024","","Discontinuing for business reasons","","","Hematology","To Be Discontinued","","12/05/2024","12/05/2024","","","","","","",""
"Imatinib Mesylate Tablet","Sun Pharmaceutical Industries Limited","800-818-4555","Imatinib Mesylate, Tablet, 100 mg (NDC 47335-472-81)","New","12/05/2024","","Discontinuing for business reasons","","","Hematology","To Be Discontinued","","12/05/2024","12/05/2024","","","","","","",""
"Imatinib Mesylate Tablet","Sun Pharmaceutical Industries Limited","800-818-4555","Imatinib Mesylate, Tablet, 100 mg (NDC 47335-472-83)","New","12/05/2024","","Discontinuing for business reasons","","","Hematology","To Be Discontinued","","12/05/2024","12/05/2024","","","","","","",""
"Imatinib Mesylate Tablet","Sun Pharmaceutical Industries Limited","800-818-4555","Imatinib Mesylate, Tablet, 100 mg (NDC 47335-472-88)","New","12/05/2024","","Discontinuing for business reasons","","","Hematology","To Be Discontinued","","12/05/2024","12/05/2024","","","","","","",""
"Imatinib Mesylate Tablet","Sun Pharmaceutical Industries Limited","800-818-4555","Imatinib Mesylate, Tablet, 400 mg (NDC 47335-475-13)","New","12/05/2024","","Discontinuing for business reasons","","","Hematology","To Be Discontinued","","12/05/2024","12/05/2024","","","","","","",""
"Imatinib Mesylate Tablet","Sun Pharmaceutical Industries Limited","800-818-4555","Imatinib Mesylate, Tablet, 400 mg (NDC 47335-475-64)","New","12/05/2024","","Discontinuing for business reasons","","","Hematology","To Be Discontinued","","12/05/2024","12/05/2024","","","","","","",""
"Imatinib Mesylate Tablet","Sun Pharmaceutical Industries Limited","800-818-4555","Imatinib Mesylate, Tablet, 400 mg (NDC 47335-475-83)","New","12/05/2024","","Discontinuing for business reasons","","","Hematology","To Be Discontinued","","12/05/2024","12/05/2024","","","","","","",""
"Imatinib Mesylate Tablet","Sun Pharmaceutical Industries Limited","800-818-4555","Imatinib Mesylate, Tablet, 400 mg (NDC 47335-475-88)","New","12/05/2024","","Discontinuing for business reasons","","","Hematology","To Be Discontinued","","12/05/2024","12/05/2024","","","","","","",""
"Imatinib Mesylate Tablet","Sun Pharmaceutical Industries Limited","800-818-4555","Imatinib Mesylate, Tablet, 100 mg (NDC 68001-490-05)","New","12/05/2024","","Discontinuing for business reasons","","","Hematology","To Be Discontinued","","12/05/2024","12/05/2024","","","","","","",""
"Imatinib Mesylate Tablet","Sun Pharmaceutical Industries Limited","800-818-4555","Imatinib Mesylate, Tablet, 400 mg (NDC 68001-491-04)","New","12/05/2024","","Discontinuing for business reasons","","","Hematology","To Be Discontinued","","12/05/2024","12/05/2024","","","","","","",""
"Indium In-111 Chloride  Injection","Curium US LLC","888-744-1414","Injection, 0.5 mL/vial (5 mCi at time of calibration) (NDC 69945-132-06)","New","09/24/2024","","Product discontinued due to business related reasons","","","Medical Imaging","To Be Discontinued","","09/24/2024","09/24/2024","","","","","","",""
"Indocyanine Green Injection","Renew Pharmaceuticals Limited","888-393-3767","Indocyanine Green, Injection, 25 mg (NDC 70100-424-02)","Revised","08/26/2025","","","Available","","Medical Imaging; Ophthalmology; Other","Resolved","08/26/2025","","08/23/2024","","","","","","",""
"Indocyanine Green Injection","Novadaq Technologies","800-624-4422","Spy Agent Green Kit, Injection, 25 mg (NDC 66259-936-15)","Revised","08/26/2025","","","Available","","Medical Imaging; Ophthalmology; Other","Resolved","08/26/2025","","08/23/2024","","","","","","",""
"Indocyanine Green Injection","Novadaq Technologies","800-624-4422","Spy Agent Green Kit, Injection, 25 mg (NDC 66259-903-14)","Revised","08/26/2025","","","Available","","Medical Imaging; Ophthalmology; Other","Resolved","08/26/2025","","08/23/2024","","","","","","",""
"Indocyanine Green Injection","Novadaq Technologies","800-624-4422","Spy Agent Green Kit, Injection, 25 mg (NDC 66259-306-13)","Revised","08/26/2025","","","Available","","Medical Imaging; Ophthalmology; Other","Resolved","08/26/2025","","08/23/2024","","","","","","",""
"Indocyanine Green Injection","Novadaq Technologies","800-624-4422","Spy Agent Green Kit, Injection, 25 mg (NDC 66259-936-25)","Revised","08/26/2025","","","Available","","Medical Imaging; Ophthalmology; Other","Resolved","08/26/2025","","08/23/2024","","","","","","",""
"Indocyanine Green Injection","Novadaq Technologies","800-624-4422","Spy Agent Green Kit, Injection, 25 mg (NDC 66259-903-24)","Revised","08/26/2025","","","Available","","Medical Imaging; Ophthalmology; Other","Resolved","08/26/2025","","08/23/2024","","","","","","",""
"Indocyanine Green Injection","Novadaq Technologies","800-624-4422","Spy Agent Green Kit, Injection, 25 mg (NDC 66259-306-23)","Revised","08/26/2025","","","Available","","Medical Imaging; Ophthalmology; Other","Resolved","08/26/2025","","08/23/2024","","","","","","",""
"Indocyanine Green Injection","Novadaq Technologies","800-624-4422","Spy Agent Green Kit, Injection, 25 mg (NDC 66259-937-16)","Revised","08/26/2025","","","Available","","Medical Imaging; Ophthalmology; Other","Resolved","08/26/2025","","08/23/2024","","","","","","",""
"Indocyanine Green Injection","Novadaq Technologies","800-624-4422","Spy Agent Green Kit, Injection, 25 mg (NDC 66259-937-26)","Revised","08/26/2025","","","Available","","Medical Imaging; Ophthalmology; Other","Resolved","08/26/2025","","08/23/2024","","","","","","",""
"Indocyanine Green Injection","Renew Pharmaceuticals Limited","888-393-3767","IC-GREEN, Injection, 25 mg (NDC 70100-825-02)","Revised","08/26/2025","","","Available","","Medical Imaging; Ophthalmology; Other","Resolved","08/26/2025","","08/23/2024","","","","","","",""
"Insulin Aspart Injection","Novo Nordisk, Inc.","609-987-5800","Insulin Aspart, Injection, 10 mL Insulin Aspart vial (NDC 73070-100-11)","New","07/21/2025","","Unbranded Insulin Aspart 10 mL vial will continue to be shipped to wholesalers while supplies last, up until the discontinuation dates. Full discontinuation will occur on December 31, 2025.","","","Endocrinology/Metabolism","To Be Discontinued","","07/21/2025","07/21/2025","","","","","","",""
"Insulin Aspart Injection","Novo Nordisk, Inc.","609-987-5800","Insulin Aspart, Injection, 3 mL Insulin Aspart PenFill® cartridge (NDC 73070-102-15)","New","07/21/2025","","Unbranded Insulin Aspart 3 mL PenFill® cartridge will continue to be shipped to wholesalers while supplies last, up until the discontinuation dates. Full discontinuation will occur on December 31, 2025.","","","Endocrinology/Metabolism","To Be Discontinued","","07/21/2025","07/21/2025","","","","","","",""
"Insulin Aspart Injection","Novo Nordisk, Inc.","609-987-5800","Insulin Aspart, Injection, 3 mL Insulin Aspart FlexPen® (NDC 73070-103-15)","New","07/21/2025","","Unbranded Insulin Aspart 3 mL FlexPen® will continue to be shipped to wholesalers while supplies last, up until the discontinuation dates. Full discontinuation will occur on December 31, 2025.","","","Endocrinology/Metabolism","To Be Discontinued","","07/21/2025","07/21/2025","","","","","","",""
"Insulin Aspart Protamine and Insulin Aspart Mix 70/30 Injectable Suspension","Novo Nordisk, Inc.","609-987-5800","Insulin Aspart Protamine and Insulin Aspart Mix 70/30, Injectable Suspension, 10 mL Insulin aspart protamine and insulin aspart Mix 70/30 vial (NDC 73070-200-11)","New","07/21/2025","","Unbranded Insulin Aspart Protamine and Insulin Aspart Mix 70/30 10 mL vial will continue to be shipped to wholesalers while supplies last, up until the discontinuation dates. Full discontinuation will occur on December 31, 2025.","","","Endocrinology/Metabolism","To Be Discontinued","","07/21/2025","07/21/2025","","","","","","",""
"Insulin Aspart Protamine and Insulin Aspart Mix 70/30 Injectable Suspension","Novo Nordisk, Inc.","609-987-5800","Insulin Aspart Protamine and Insulin Aspart Mix 70/30, Injectable Suspension, 3 mL vial Insulin aspart protamine and insulin aspart Mix 70/30 FlexPen® (NDC 73070-203-15)","New","07/21/2025","","Unbranded Insulin aspart protamine and insulin aspart FlexPen® will continue to be shipped to wholesalers while supplies last, up until the discontinuation dates. Full discontinuation will occur on December 31, 2025.","","","Endocrinology/Metabolism","To Be Discontinued","","07/21/2025","07/21/2025","","","","","","",""
"Insulin Degludec Injection","Novo Nordisk, Inc.","609-987-5800","Insulin Degludec, Injection, 10 mL Insulin Degludec vial (NDC 73070-400-11)","New","07/21/2025","","Unbranded Insulin Degludec 10 mL vial will continue to be shipped to wholesalers while supplies last, up until the discontinuation dates. Full discontinuation will occur on December 31, 2025.","","","Endocrinology/Metabolism","To Be Discontinued","","07/21/2025","07/21/2025","","","","","","",""
"Insulin Degludec Injection","Novo Nordisk, Inc.","609-987-5800","Insulin Degludec, Injection, 3 mL Insulin Degludec 100 units/mL (U-100) FlexTouch® (NDC 73070-403-15)","New","07/21/2025","","Unbranded Insulin Degludec 3 mL U-100 FlexTouch® will continue to be shipped to wholesalers while supplies last, up until the discontinuation dates. Full discontinuation will occur on December 31, 2025.","","","Endocrinology/Metabolism","To Be Discontinued","","07/21/2025","07/21/2025","","","","","","",""
"Insulin Degludec Injection","Novo Nordisk, Inc.","609-987-5800","Insulin Degludec, Injection, 3 mL Insulin Degludec 200 units/mL (U-200) FlexTouch® (NDC 73070-503-15)","New","07/21/2025","","Unbranded Insulin Degludec 3 mL U-200 FlexTouch® will continue to be shipped to wholesalers while supplies last, up until the discontinuation dates. Full discontinuation will occur on December 31, 2025.","","","Endocrinology/Metabolism","To Be Discontinued","","07/21/2025","07/21/2025","","","","","","",""
"Ipratropium Bromide Solution","Sun Pharmaceutical Industries, Inc.","800-818-4555","Solution, .5 mg/2.5 mL (NDC 47335-706-49)","New","09/20/2024","","","","","Pulmonary/Allergy","To Be Discontinued","","09/20/2024","09/20/2024","","","","","","",""
"Ipratropium Bromide Solution","Sun Pharmaceutical Industries, Inc.","800-818-4555","Solution, .5 mg/2.5 mL (NDC 47335-706-52)","New","09/20/2024","","","","","Pulmonary/Allergy","To Be Discontinued","","09/20/2024","09/20/2024","","","","","","",""
"Ipratropium Bromide Solution","Sun Pharmaceutical Industries, Inc.","800-818-4555","Solution, .5 mg/2.5 mL (NDC 47335-706-54)","New","09/20/2024","","","","","Pulmonary/Allergy","To Be Discontinued","","09/20/2024","09/20/2024","","","","","","",""
"Irinotecan Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Injection, 40 mg per 2 mL (20mg per mL) (NDC 63323-193-52)","New","09/30/2024","","","","","Oncology","To Be Discontinued","","09/30/2024","09/30/2024","","","","","","",""
"Irinotecan Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Injection, 100 mg per 5 mL (20mg per mL) (NDC 63323-193-55)","New","09/30/2024","","","","","Oncology","To Be Discontinued","","09/30/2024","09/30/2024","","","","","","",""
"Irinotecan Hydrochloride Injection","Teva Pharmaceuticals USA, Inc.","800-545-8800","Irinotecan Hydrochloride, Injection, 20 mg/1 mL (NDC 45963-614-51)","New","08/04/2025","","Product not anticipated to be available beyond mid-late October 2025","","","Oncology","To Be Discontinued","","08/04/2025","08/04/2025","","","","","","",""
"Irinotecan Hydrochloride Injection","Teva Pharmaceuticals USA, Inc.","800-545-8800","Irinotecan Hydrochloride, Injection, 20 mg/1 mL (NDC 45963-614-55)","New","08/04/2025","","Product not anticipated to be available beyond mid-late September 2025","","","Oncology","To Be Discontinued","","08/04/2025","08/04/2025","","","","","","",""
"Isoniazid Tablet","Genus Lifesciences","610-782-9780","Isoniazid, Tablet, 300 mg (NDC 64950-217-03)","New","07/01/2025","","Product expected to be available until August 2025.","","","Anti-Infective","To Be Discontinued","","07/01/2025","07/01/2025","","","","","","",""
"Isoniazid Tablet","Genus Lifesciences","610-782-9780","Isoniazid, Tablet, 300 mg (NDC 64950-217-10)","New","07/01/2025","","Product expected to be available until August 2025.","","","Anti-Infective","To Be Discontinued","","07/01/2025","07/01/2025","","","","","","",""
"Isoniazid Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Tablet, 100 mg (NDC 0555-0066-02)","New","11/21/2024","","Product available through 12/03/2024","","","Anti-Infective","To Be Discontinued","","11/21/2024","11/21/2024","","","","","","",""
"Isoniazid Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Tablet, 300 mg (NDC 0555-0071-01)","New","11/21/2024","","Product available through 12/03/2024","","","Anti-Infective","To Be Discontinued","","11/21/2024","11/21/2024","","","","","","",""
"Isoniazid Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Tablet, 300 mg (NDC 0555-0071-02)","New","11/21/2024","","Product available through 12/03/2024","","","Anti-Infective","To Be Discontinued","","11/21/2024","11/21/2024","","","","","","",""
"Isosorbide Mononitrate Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Tablet, 20 mg (NDC 0228-2620-11)","New","11/13/2024","","A business decision was made to discontinue manufacture of this product.","","","Cardiovascular","To Be Discontinued","","11/13/2024","11/13/2024","","","","","","",""
"Isosorbide Mononitrate Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Tablet, 10 mg (NDC 0228-2631-11)","New","11/13/2024","","A business decision was made to discontinue manufacture of this product.","","","Cardiovascular","To Be Discontinued","","11/13/2024","11/13/2024","","","","","","",""
"Ketamine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Ketamine Hydrochloride, Injection, 500 mg/5 mL (100 mg/mL); Multiple Dose Glass Fliptop Vial (NDC 0409-2051-05)","Revised","04/02/2025","","","Available","","Anesthesia","Resolved","04/02/2025","","02/20/2018","","","","","","",""
"Ketamine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Ketamine Hydrochloride, Injection, 10 mg/1 mL (NDC 65219-184-20)","Revised","04/02/2025","","","Available","","Anesthesia","Resolved","04/02/2025","","02/20/2018","","","","","","",""
"Ketamine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Ketamine Hydrochloride, Injection, 50 mg/1 mL (NDC 65219-188-10)","Revised","04/02/2025","","","Available","","Anesthesia","Resolved","04/02/2025","","02/20/2018","","","","","","",""
"Ketamine Hydrochloride Injection","Gland Pharma Limited","866-625-1618","Ketamine Hydrochloride, Injection, 10 mg/1 mL (NDC 25021-682-20)","Revised","04/02/2025","","","Available","","Anesthesia","Resolved","04/02/2025","","02/20/2018","","","","","","",""
"Ketamine Hydrochloride Injection","Gland Pharma Limited","866-625-1618","Ketamine Hydrochloride, Injection, 50 mg/1 mL (NDC 25021-683-10)","Revised","04/02/2025","","","Available","","Anesthesia","Resolved","04/02/2025","","02/20/2018","","","","","","",""
"Ketamine Hydrochloride Injection","Gland Pharma Limited","866-625-1618","Ketamine Hydrochloride, Injection, 100 mg/1 mL (NDC 25021-684-05)","Revised","04/02/2025","","","Available","","Anesthesia","Resolved","04/02/2025","","02/20/2018","","","","","","",""
"Ketamine Hydrochloride Injection","Eugia US LLC","888-238-7880","Ketamine Hydrochloride, Injection, 10 mg/1 mL (NDC 55150-438-10)","Revised","04/02/2025","","","Available","","Anesthesia","Resolved","04/02/2025","","02/20/2018","","","","","","",""
"Ketamine Hydrochloride Injection","Eugia US LLC","888-238-7880","Ketamine Hydrochloride, Injection, 50 mg/1 mL (NDC 55150-439-10)","Revised","04/02/2025","","","Available","","Anesthesia","Resolved","04/02/2025","","02/20/2018","","","","","","",""
"Ketamine Hydrochloride Injection","Eugia US LLC","888-238-7880","Ketamine Hydrochloride, Injection, 100 mg/1 mL (NDC 55150-440-10)","Revised","04/02/2025","","","Available","","Anesthesia","Resolved","04/02/2025","","02/20/2018","","","","","","",""
"Ketamine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Ketamine Hydrochloride, Injection, 500 mg/5 mL (100 mg/mL) (NDC 0409-0040-10)","Revised","04/02/2025","","","Available","","Anesthesia","Resolved","04/02/2025","","02/20/2018","","","","","","",""
"Ketamine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Ketamine Hydrochloride, Injection, 500 mg/10 mL (50 mg/mL) (NDC 0409-2053-10)","Revised","04/02/2025","","","Available","","Anesthesia","Resolved","04/02/2025","","02/20/2018","","","","","","",""
"Ketamine Hydrochloride Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Ketamine Hydrochloride, Injection, 100 mg/1 mL (NDC 0143-9509-10)","Revised","04/02/2025","","","Available","","Anesthesia","Resolved","04/02/2025","","02/20/2018","","","","","","",""
"Ketamine Hydrochloride Injection","Par Pharmaceutical, Inc.","800-828-9393","Ketalar, Injection, 10 mg/1 mL (NDC 42023-113-10)","Revised","04/02/2025","","","Available","","Anesthesia","Resolved","04/02/2025","","02/20/2018","","","","","","",""
"Ketamine Hydrochloride Injection","Par Pharmaceutical, Inc.","800-828-9393","Ketalar, Injection, 100 mg/1 mL (NDC 42023-115-10)","Revised","04/02/2025","","","Available","","Anesthesia","Resolved","04/02/2025","","02/20/2018","","","","","","",""
"Ketamine Hydrochloride Injection","Par Pharmaceutical, Inc.","800-828-9393","Ketalar, Injection, 50 mg/1 mL (NDC 42023-114-10)","Revised","04/02/2025","","","Available","","Anesthesia","Resolved","04/02/2025","","02/20/2018","","","","","","",""
"Ketamine Hydrochloride Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Ketamine Hydrochloride, Injection, 50 mg/1 mL (NDC 0143-9508-10)","Revised","04/02/2025","","","Available","","Anesthesia","Resolved","04/02/2025","","02/20/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Sagent Pharmaceuticals","866-625-1618","Ketorolac Tromethamine, Injection, 15 mg/1 mL (NDC 25021-700-01)","Reverified","08/26/2025","Available","","","","Analgesia/Addiction","Current","","","03/26/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Sagent Pharmaceuticals","866-625-1618","Ketorolac Tromethamine, Injection, 30 mg/1 mL (NDC 25021-701-02)","Reverified","08/26/2025","Available","","","","Analgesia/Addiction","Current","","","03/26/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Sagent Pharmaceuticals","866-625-1618","Ketorolac Tromethamine, Injection, 30 mg/1 mL (NDC 25021-701-01)","Reverified","08/26/2025","Available","","","","Analgesia/Addiction","Current","","","03/26/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Ketorolac Tromethamine, Injection, 15 mg/1 mL (NDC 0409-3793-01)","Revised","08/15/2025","Limited Availability","Limited Supply Available. Next Delivery: August 2025; Estimated Recovery: September 2025","","Other","Analgesia/Addiction","Current","","","03/26/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Ketorolac Tromethamine, Injection, 30 mg/1 mL (NDC 0409-3795-01)","Reverified","08/15/2025","Available","","","","Analgesia/Addiction","Current","","","03/26/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Ketorolac Tromethamine, Injection, 60 mg/2 mL (30 mg/mL) (NDC 0409-3796-01)","Revised","08/15/2025","Limited Availability","Limited Supply Available. Next Delivery: August 2025; Estimated Recovery: September 2025","","Other","Analgesia/Addiction","Current","","","03/26/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Ketorolac Tromethamine, Injection, 15 mg/1 mL (NDC 0641-6041-25)","Revised","07/23/2025","Unavailable","Shortage recovery: TBD","","Other","Analgesia/Addiction","Current","","","06/06/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Ketorolac Tromethamine, Injection, 30 mg/1 mL (NDC 0641-6042-25)","Revised","07/23/2025","Unavailable","Shortage recovery: TBD","","Other","Analgesia/Addiction","Current","","","06/06/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Ketorolac Tromethamine, Injection, 30 mg/1 mL (NDC 0641-6043-25)","Revised","07/23/2025","Unavailable","Shortage recovery: TBD","","Other","Analgesia/Addiction","Current","","","06/06/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Fresenius Kabi USA, LLC","888-386-1300","Ketorolac Tromethamine, Injection, 15 mg/1 mL (NDC 63323-161-01)","Reverified","09/18/2025","Available","Check wholesaler inventory","","","Analgesia/Addiction","Current","","","03/23/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Fresenius Kabi USA, LLC","888-386-1300","Ketorolac Tromethamine, Injection, 30 mg/1 mL (NDC 63323-162-01)","Reverified","09/18/2025","Available","Check wholesaler inventory","","","Analgesia/Addiction","Current","","","03/23/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Fresenius Kabi USA, LLC","888-386-1300","Ketorolac Tromethamine, Injection, 30 mg/1 mL (NDC 63323-162-02)","Reverified","09/18/2025","Available","Check wholesaler inventory","","","Analgesia/Addiction","Current","","","03/23/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Baxter Healthcare","888-229-0001","Ketorolac Tromethamine, Injection, 15 mg/1 mL (NDC 0338-0069-10)","Reverified","09/03/2025","Available","","","","Analgesia/Addiction","Current","","","06/06/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Baxter Healthcare","888-229-0001","Ketorolac Tromethamine, Injection, 30 mg/1 mL (NDC 0338-0072-25)","Reverified","09/03/2025","Available","","","","Analgesia/Addiction","Current","","","06/06/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Fresenius Kabi USA, LLC","888-386-1300","Ketorolac Tromethamine, Injection, 15 mg/1 mL (NDC 76045-107-10)","Reverified","09/18/2025","Unavailable","Not available at this time.","","Other","Analgesia/Addiction","Current","","","03/23/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Fresenius Kabi USA, LLC","888-386-1300","Ketorolac Tromethamine, Injection, 30 mg/1 mL (NDC 76045-104-10)","Reverified","09/18/2025","Unavailable","Not available at this time.","","Other","Analgesia/Addiction","Current","","","03/23/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Fresenius Kabi USA, LLC","888-386-1300","Ketorolac Tromethamine, Injection, 60 mg/2 mL (NDC 76045-105-20)","Reverified","09/18/2025","Unavailable","Not available at this time.","","Other","Analgesia/Addiction","Current","","","03/23/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Gland Pharma Limited","833-291-9645","Ketorolac Tromethamine, Injection, 30 mg/1 mL (NDC 72266-118-25)","Reverified","09/17/2025","Available","Distributed by Fosun Pharma USA, Inc.. To order, contact: 833-291-9645.","","","Analgesia/Addiction","Current","","","06/06/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Gland Pharma Limited","833-291-9645","Ketorolac Tromethamine, Injection, 30 mg/1 mL (NDC 72266-119-25)","Reverified","09/17/2025","Available","Distributed by Fosun Pharma USA, Inc.. To order, contact: 833-291-9645.","","","Analgesia/Addiction","Current","","","06/06/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Alembic Pharmaceuticals","908-393-9604","Ketorolac Tromethamine, Injection, 15 mg/1 mL (NDC 62332-599-25)","Reverified","09/17/2025","Available","","","","Analgesia/Addiction","Current","","","03/23/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Alembic Pharmaceuticals","908-393-9604","Ketorolac Tromethamine, Injection, 30 mg/1 mL (NDC 62332-600-25)","Reverified","09/17/2025","Available","","","","Analgesia/Addiction","Current","","","03/23/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Alembic Pharmaceuticals","908-393-9604","Ketorolac Tromethamine, Injection, 60 mg/2 mL (NDC 62332-601-25)","Reverified","09/17/2025","Available","","","","Analgesia/Addiction","Current","","","03/23/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Gland Pharma Limited","833-291-9645","Ketorolac Tromethamine, Injection, 30 mg/1 mL (NDC 70860-701-03)","Reverified","09/17/2025","Available","Athenex is not active, supplying through Sagent NDC 25021-701-01","","","Analgesia/Addiction","Current","","","03/23/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Gland Pharma Limited","833-291-9645","Ketorolac Tromethamine, Injection, 15 mg/1 mL (NDC 70860-700-02)","Reverified","09/17/2025","Available","Athenex is not active, supplying through Sagent NDC  25021-700-01","","","Analgesia/Addiction","Current","","","03/23/2018","","","","","","",""
"Ketorolac Tromethamine Injection","Gland Pharma Limited","833-291-9645","Ketorolac Tromethamine, Injection, 30 mg/1 mL (NDC 70860-701-04)","Reverified","09/17/2025","Available","Athenex is not active, supplying through Sagent NDC 25021-701-02","","","Analgesia/Addiction","Current","","","03/23/2018","","","","","","",""
"Lactated Ringers Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Lactated Ringers, Injection, 20 mg/100 mL; 30 mg/100 mL; 600 mg/100 mL; 310 mg/100 mL (NDC 0990-7953-02)","Reverified","09/17/2025","Available","This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","","Endocrinology/Metabolism; Gastroenterology; Other","Current","","","10/11/2024","","","","","","",""
"Lactated Ringers Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Lactated Ringers, Injection, 20 mg/100 mL; 30 mg/100 mL; 600 mg/100 mL; 310 mg/100 mL (NDC 0990-7953-03)","Reverified","09/17/2025","Available","This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","","Endocrinology/Metabolism; Gastroenterology; Other","Current","","","10/11/2024","","","","","","",""
"Lactated Ringers Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Lactated Ringers, Injection, 20 mg/100 mL; 30 mg/100 mL; 600 mg/100 mL; 310 mg/100 mL (NDC 0990-7953-09)","Reverified","09/17/2025","Available","This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","","Endocrinology/Metabolism; Gastroenterology; Other","Current","","","10/11/2024","","","","","","",""
"Lactated Ringers Injection","Baxter Healthcare","888-229-0001","Lactated Ringers, Injection, 20 mg/100 mL; 30 mg/100 mL; 600 mg/100 mL; 310 mg/100 mL (NDC 0338-0117-04)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other","Current","","","10/11/2024","","","","","","",""
"Lactated Ringers Injection","Baxter Healthcare","888-229-0001","Lactated Ringers, Injection, 250 mL bag, 36 count (NDC 0338-0117-02)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other","Current","","","10/11/2024","","","","","","",""
"Lactated Ringers Injection","Baxter Healthcare","888-229-0001","Lactated Ringers, Injection, 500 mL bag, 24 count (NDC 0338-0117-03)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other","Current","","","10/11/2024","","","","","","",""
"Lactated Ringers Injection","Baxter Healthcare","888-229-0001","Lactated Ringers, Injection, 20 mg/100 mL; 5 g/100 mL; 30 mg/100 mL; 600 mg/100 mL; 310 mg/100 mL (NDC 0338-0125-04)","Reverified","09/03/2025","Available","","","","Endocrinology/Metabolism; Gastroenterology; Other","Current","","","10/11/2024","","","","","","",""
"Lactated Ringers Injection","Baxter Healthcare","888-229-0001","Lactated Ringers, Injection, 20 mg/100 mL; 5 g/100 mL; 30 mg/100 mL; 600 mg/100 mL; 310 mg/100 mL (NDC 0338-0125-03)","Reverified","09/03/2025","Unavailable","Product Discontinued","","Discontinuation of the manufacture of the drug","Endocrinology/Metabolism; Gastroenterology; Other","Current","","","10/11/2024","","","","","","",""
